iter	RMSE
0	675.9922295
1	673.7327617
2	669.8134119
3	666.7350142
4	665.5505784
5	662.6615547
6	659.1143699
7	655.6250402
8	654.0270769
9	653.3537854
10	650.0551543
11	648.0335907
12	643.8317398
13	640.8351624
14	639.7529647
15	636.8115996
16	634.0610407
17	630.1171137
18	628.3987429
19	626.8357823
20	625.7605038
21	622.9166217
22	620.4942193
23	618.0190194
24	615.7866914
25	613.9388112
26	613.4053294
27	612.3902971
28	610.1696883
29	609.6189951
30	608.677891
31	605.1195976
32	604.1390137
33	603.5883725
34	603.0981338
35	602.5445374
36	602.0319805
37	601.5341977
38	599.4763992
39	598.3005867
40	597.348981
41	596.3885383
42	595.5306156
43	595.0403625
44	594.5776849
45	593.7388526
46	592.9382822
47	592.1194072
48	591.6684342
49	588.2338999
50	587.4231925
51	586.6123493
52	585.8511364
53	585.4029235
54	582.8244037
55	581.3353524
56	578.8838462
57	578.4456004
58	577.6862694
59	577.2656789
60	574.0560564
61	573.6313686
62	572.1328012
63	570.4270114
64	569.6934349
65	568.9589848
66	568.5405837
67	568.1316343
68	567.4270432
69	567.0279553
70	566.3285259
71	565.1136418
72	564.4703732
73	563.8326973
74	562.935424
75	562.3209471
76	561.7386123
77	560.7419191
78	557.6031725
79	557.233931
80	554.1945021
81	551.2074976
82	550.8447479
83	549.8557844
84	549.5627653
85	549.0027308
86	548.4409832
87	546.5196187
88	545.9711829
89	545.4479569
90	544.9362581
91	543.9803412
92	542.2124604
93	541.8571607
94	541.375876
95	541.1072577
96	540.6307954
97	539.3022393
98	538.4087224
99	537.6174782
100	537.2847039
101	536.9516601
102	536.5097998
103	536.1827344
104	533.3293771
105	532.9067336
106	532.8998109
107	530.1032059
108	529.7901877
109	527.0272877
110	526.5992405
111	526.2962376
112	525.88825
113	525.4746261
114	525.0716236
115	524.6932279
116	524.3831275
117	524.0184468
118	523.6692994
119	520.9973475
120	520.6536004
121	520.3600471
122	517.7364225
123	517.3738854
124	517.0909392
125	516.8086182
126	514.2471739
127	513.9748125
128	513.7093868
129	513.4541247
130	513.1237589
131	511.9074242
132	511.6604042
133	511.3387306
134	511.097393
135	510.7824796
136	510.4804708
137	510.2837705
138	510.0480503
139	507.5521427
140	507.2576689
141	507.0232657
142	506.2772883
143	505.9890179
144	505.047288
145	504.4786114
146	504.2123732
147	503.9535234
148	502.9099342
149	502.6585052
150	500.1960007
151	499.7316279
152	499.4877644
153	499.260784
154	499.0221293
155	496.6188469
156	496.3892896
157	495.5232086
158	493.8261043
159	493.0537485
160	492.3005403
161	492.0824952
162	491.8620733
163	491.6443165
164	491.4241813
165	489.0866547
166	488.8848906
167	488.6874952
168	488.4916604
169	486.2213383
170	486.0027496
171	485.7967628
172	485.597159
173	485.4009372
174	484.9832178
175	484.7989976
176	482.571873
177	482.3939528
178	482.2039091
179	481.488982
180	481.312577
181	481.1401032
182	480.9771625
183	478.7950577
184	476.6492731
185	474.5579796
186	472.517071
187	470.5239277
188	468.5782816
189	468.4155101
190	468.2235368
191	468.0605937
192	467.8727707
193	467.6922509
194	467.5139811
195	465.6114128
196	465.440923
197	465.2730175
198	463.4289734
199	461.63031
200	459.8751468
201	458.1609384
202	458.0050304
203	456.6605203
204	455.0091986
205	454.8441144
206	454.6840316
207	454.5234205
208	452.9206752
209	452.7708002
210	452.613656
211	452.4615411
212	452.3102265
213	452.1585276
214	452.0116919
215	450.4329198
216	448.9050497
217	448.7569018
218	448.6187922
219	448.4772558
220	448.3422563
221	448.2012242
222	446.699741
223	446.5615814
224	446.424205
225	446.2937956
226	446.1545192
227	444.6878548
228	444.5605457
229	444.439737
230	444.3207468
231	444.2064574
232	444.0750098
233	442.6431911
234	442.5138593
235	441.1176891
236	440.9913279
237	440.8701999
238	440.7554418
239	439.3997447
240	438.0712905
241	437.9597483
242	437.855653
243	437.7337591
244	437.615274
245	436.324616
246	435.0605868
247	434.956358
248	434.8543542
249	433.6218109
250	433.5055924
251	433.392575
252	432.1954305
253	432.0852379
254	430.9130877
255	429.7708618
256	429.6630399
257	429.5610406
258	428.4474065
259	428.3488487
260	428.2521393
261	428.1470961
262	428.0547895
263	426.9686124
264	426.8769774
265	426.7745804
266	426.6749631
267	425.6158128
268	425.5259599
269	424.4937678
270	424.3963937
271	423.3904672
272	423.3027521
273	423.2078728
274	422.2273467
275	422.1348605
276	422.0498033
277	421.9685693
278	421.0126658
279	420.9225302
280	420.834889
281	420.7543022
282	419.8224326
283	419.7443673
284	419.6589493
285	418.750777
286	418.6675256
287	418.5903644
288	418.5153957
289	418.4425881
290	417.5571927
291	416.6947155
292	415.8546055
293	415.783387
294	415.7018856
295	415.622643
296	414.8038555
297	414.0063585
298	413.2296251
299	413.1520812
300	413.082443
301	412.3256595
302	412.2500694
303	412.1822927
304	412.116597
305	412.0431432
306	411.3055422
307	410.587304
308	410.5242824
309	410.4616989
310	409.7618274
311	409.6900116
312	409.6201853
313	409.560477
314	408.8785822
315	408.2145872
316	407.5680424
317	407.4997847
318	407.4334196
319	407.3740015
320	406.6929574
321	406.6283838
322	405.9976082
323	405.940081
324	405.3257876
325	404.7274141
326	404.6715461
327	404.6084498
328	404.0259556
