id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,accommodates,first_review,review_scores_value,review_scores_cleanliness,review_scores_location,review_scores_accuracy,review_scores_communication,review_scores_checkin,review_scores_rating,maximum_nights,listing_url,host_is_superhost,host_response_time,host_response_rate
950757985763736660,Rental unit in Santiago · ★New · 1 bedroom · 2 beds · 1 bath,529894422,Aaroon,Lo Barnechea,-33.263264,-70.393384,Entire home/apt,33.5,1,2,2023-08-15,1.5,2,363,2,Entire rental unit,3,2023-08-14,5.0,5.0,5.0,5.0,5.0,4.5,5.0,1125,https://www.airbnb.com/rooms/950757985763736660,f,within an hour,100%
948666131576385992,Rental unit in Recoleta · ★5.0 · 2 bedrooms · 2 beds · 2 baths,182089095,Gabriela,Recoleta,-33.4232726,-70.6404233,Entire home/apt,42.0,2,3,2023-09-09,2.37,1,269,3,Entire rental unit,3,2023-08-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/948666131576385992,f,within an hour,100%
948670150454037875,Rental unit in Santiago · ★5.0 · 2 bedrooms · 4 beds · 2 baths,529304365,Juan Carlos,Santiago,-33.4477138,-70.6539794,Entire home/apt,57.857,2,9,2023-09-18,5.74,1,123,9,Entire rental unit,5,2023-08-08,5.0,4.78,5.0,4.89,5.0,4.89,5.0,28,https://www.airbnb.com/rooms/948670150454037875,f,within an hour,100%
950760143037778721,Rental unit in Santiago · ★4.50 · 2 bedrooms · 3 beds · 2 baths,151574467,Pablo,Providencia,-33.44934923947592,-70.63125346896884,Entire home/apt,48.774,1,4,2023-09-07,2.86,2,268,4,Entire rental unit,4,2023-08-13,3.5,4.75,4.75,4.75,4.75,4.75,4.5,1125,https://www.airbnb.com/rooms/950760143037778721,f,within an hour,100%
948675005497201435,Bed and breakfast in Santiago · ★New · 1 bedroom · 1 bed · 1.5 baths,528922618,Hostal,Santiago,-33.44664179429676,-70.65364438216176,Private room,36.229,1,0,,,12,266,0,Private room in bed and breakfast,4,,,,,,,,,6,https://www.airbnb.com/rooms/948675005497201435,f,within an hour,99%
948718978121076807,Rental unit in Santiago · ★4.0 · 2 bedrooms · 3 beds · 1 bath,173428287,Vesna,Santiago,-33.4389542,-70.6361012,Entire home/apt,42.33,1,4,2023-09-09,2.55,11,262,4,Entire rental unit,5,2023-08-08,4.25,4.0,4.25,4.25,4.0,4.75,4.0,365,https://www.airbnb.com/rooms/948718978121076807,t,within an hour,100%
950776627466309967,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,85305915,Martín,Santiago,-33.4372379441292,-70.64226996310205,Entire home/apt,50.0,6,1,2023-08-31,1.0,2,324,1,Entire rental unit,2,2023-08-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1125,https://www.airbnb.com/rooms/950776627466309967,t,within an hour,100%
950782402349584290,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,316281747,Bettina,Santiago,-33.44740137994795,-70.64627108723545,Private room,24.0,2,1,2023-09-08,1.0,2,364,1,Private room in rental unit,2,2023-09-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1125,https://www.airbnb.com/rooms/950782402349584290,f,within an hour,100%
950810134267902442,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,20512772,Maximiliano,Santiago,-33.44974413279555,-70.64946088939905,Entire home/apt,25.0,3,1,2023-08-18,0.81,1,131,1,Entire rental unit,2,2023-08-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/950810134267902442,f,within an hour,100%
948726948677861238,Condo in Providencia · ★New · 1 bedroom · 2 beds · 1 shared bath,522731167,Andres,Providencia,-33.437095485450904,-70.63311251697932,Private room,21.857,1,0,,,3,80,0,Private room in condo,3,,,,,,,,,365,https://www.airbnb.com/rooms/948726948677861238,f,within an hour,100%
